	AspNid.proteins	ggMorZona1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzPodHuml1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
AspNid.proteins	0.0	421.0	399.0	378.0	388.0	445.0	370.0	474.0
ggMorZona1.proteins	509.0	0.0	558.0	993.0	1166.0	1773.0	1638.0	1897.0
gzLinHyal1.proteins	460.0	594.0	0.0	827.0	949.0	1428.0	1339.0	1530.0
gzMorAlpi1.proteins	428.0	943.0	777.0	0.0	891.0	1431.0	1350.0	1578.0
gzPodHuml1.proteins	487.0	1138.0	932.0	918.0	0.0	1452.0	1343.0	1581.0
gzUmbIsab1.proteins	441.0	1660.0	1417.0	1475.0	1462.0	0.0	712.0	1039.0
gzUmbRama1.proteins	392.0	1487.0	1302.0	1341.0	1308.0	705.0	0.0	764.0
gzUmbVina1.proteins	442.0	1839.0	1577.0	1650.0	1633.0	1078.0	814.0	0.0
