Species Tree Node	Duplications (all)	Duplications (50% support)
N2	1721	1452
N6	891	891
ggMorZona1.proteins	2029	2029
gzPodHuml1.proteins	3278	3278
gzLinHyal1.proteins	1380	1380
gzMorAlpi1.proteins	1857	1857
N4	237	193
gzUmbVina1.proteins	2225	2225
N0	99	38
AspNid.proteins	2090	2090
N3	1032	914
gzUmbRama1.proteins	1487	1487
gzUmbIsab1.proteins	1764	1764
N1	93	45
N5	95	95
