	AspNid.proteins	ggMorZona1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzPodHuml1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
AspNid.proteins	0.0	1290.0	1034.0	1050.0	1008.0	1037.0	922.0	1144.0
ggMorZona1.proteins	141.0	0.0	765.0	777.0	882.0	679.0	574.0	776.0
gzLinHyal1.proteins	150.0	1381.0	0.0	853.0	969.0	781.0	660.0	884.0
gzMorAlpi1.proteins	159.0	1336.0	834.0	0.0	971.0	768.0	648.0	854.0
gzPodHuml1.proteins	159.0	1366.0	891.0	903.0	0.0	785.0	669.0	886.0
gzUmbIsab1.proteins	220.0	1097.0	855.0	885.0	848.0	0.0	795.0	1081.0
gzUmbRama1.proteins	259.0	1150.0	896.0	926.0	886.0	1014.0	0.0	1188.0
gzUmbVina1.proteins	246.0	1049.0	822.0	830.0	798.0	879.0	744.0	0.0
