Orthogroup	Duplications (all)	Duplications (50% support)
OG0000317	7	7
OG0000318	8	8
OG0000319	5	4
OG0000320	6	6
OG0000321	9	9
OG0000322	6	6
OG0000323	8	8
OG0000324	6	4
OG0000325	8	7
OG0000326	8	8
OG0000327	7	7
OG0000328	5	5
OG0000329	7	7
OG0000330	8	8
OG0000331	7	6
OG0000332	6	6
OG0000333	5	5
OG0000334	6	6
OG0000335	7	7
OG0000336	7	7
OG0000337	9	9
OG0000338	8	8
OG0000339	7	5
OG0000340	10	10
OG0000341	6	6
OG0000342	8	8
OG0000343	7	7
OG0000344	6	6
OG0000345	5	5
OG0000346	12	10
OG0000347	7	7
OG0000348	9	9
OG0000349	4	4
OG0000350	9	9
OG0000351	10	10
OG0000352	7	7
OG0000353	7	7
OG0000354	5	5
OG0000355	17	17
OG0000356	3	3
OG0000357	8	8
OG0000358	10	10
OG0000359	5	3
OG0000360	6	6
OG0000361	3	3
OG0000362	7	7
OG0000363	6	6
OG0000364	8	8
OG0000365	6	5
OG0000366	8	8
OG0000367	5	5
OG0000368	3	3
OG0000369	8	6
OG0000370	11	8
OG0000371	7	7
OG0000372	8	8
OG0000373	6	5
OG0000374	5	5
OG0000375	5	5
OG0000376	7	7
OG0000377	6	6
OG0000378	6	6
OG0000379	3	3
OG0000380	5	5
OG0000381	5	5
OG0000382	4	4
OG0000383	9	9
OG0000384	5	5
OG0000385	6	6
OG0000386	7	7
OG0000387	5	4
OG0000388	3	3
OG0000389	5	4
OG0000390	6	6
OG0000391	7	6
OG0000392	5	5
OG0000393	2	2
OG0000394	8	8
OG0000395	8	7
OG0000396	9	9
OG0000397	10	10
OG0000398	9	9
OG0000399	5	5
OG0000400	8	7
OG0000401	9	6
OG0000402	9	9
OG0000403	5	5
OG0000404	5	4
OG0000405	7	7
OG0000406	4	4
OG0000407	9	9
OG0000408	5	5
OG0000409	8	8
OG0000410	7	7
OG0000411	5	5
OG0000412	5	5
OG0000413	8	8
OG0000414	7	7
OG0000415	5	5
OG0000416	5	5
OG0000417	6	5
OG0000418	10	7
OG0000419	14	14
OG0000420	13	13
OG0000421	7	6
OG0000422	8	8
OG0000423	17	17
OG0000424	8	7
OG0000425	6	6
OG0000426	4	4
OG0000427	4	4
OG0000428	6	6
OG0000429	4	4
OG0000430	7	7
OG0000431	6	6
OG0000432	5	4
OG0000433	4	4
OG0000434	4	4
OG0000435	7	7
OG0000436	7	6
OG0000437	6	6
OG0000438	5	4
OG0000439	7	6
OG0000440	6	6
OG0000441	6	6
OG0000442	7	7
