	AspNid.proteins	ggMorZona1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzPodHuml1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
AspNid.proteins	0.0	404.0	400.0	459.0	417.0	678.0	797.0	716.0
ggMorZona1.proteins	3231.0	0.0	3084.0	3062.0	3119.0	2672.0	2816.0	2544.0
gzLinHyal1.proteins	2465.0	1759.0	0.0	1915.0	2077.0	2001.0	2126.0	1931.0
gzMorAlpi1.proteins	2446.0	1745.0	1950.0	0.0	2071.0	2056.0	2144.0	1911.0
gzPodHuml1.proteins	2385.0	2124.0	2258.0	2306.0	0.0	2057.0	2162.0	1929.0
gzUmbIsab1.proteins	2544.0	1617.0	1861.0	1820.0	1851.0	0.0	2322.0	2002.0
gzUmbRama1.proteins	2193.0	1304.0	1490.0	1470.0	1519.0	1808.0	0.0	1668.0
gzUmbVina1.proteins	2851.0	1872.0	2122.0	2052.0	2142.0	2495.0	2762.0	0.0
