	AspNid.cds-transcripts	ggMorZona1.cds-transcripts	gzLinHyal1.cds-transcripts	gzMorAlpi1.cds-transcripts	gzPodHuml1.cds-transcripts	gzUmbIsab1.cds-transcripts	gzUmbRama1.cds-transcripts	gzUmbVina1.cds-transcripts
AspNid.cds-transcripts	315	146	144	145	143	110	111	118
ggMorZona1.cds-transcripts	146	10916	10817	2658	2719	177	177	179
gzLinHyal1.cds-transcripts	144	10817	10991	2660	2734	175	175	178
gzMorAlpi1.cds-transcripts	145	2658	2660	4035	2371	173	169	178
gzPodHuml1.cds-transcripts	143	2719	2734	2371	4257	177	173	185
gzUmbIsab1.cds-transcripts	110	177	175	173	177	3242	1748	1817
gzUmbRama1.cds-transcripts	111	177	175	169	173	1748	3383	2131
gzUmbVina1.cds-transcripts	118	179	178	178	185	1817	2131	3709
