	AspNid.cds-transcripts	ggMorZona1.cds-transcripts	gzLinHyal1.cds-transcripts	gzMorAlpi1.cds-transcripts	gzPodHuml1.cds-transcripts	gzUmbIsab1.cds-transcripts	gzUmbRama1.cds-transcripts	gzUmbVina1.cds-transcripts
AspNid.cds-transcripts	0.0	76.0	75.0	67.0	69.0	40.0	41.0	50.0
ggMorZona1.cds-transcripts	1.0	0.0	618.0	186.0	264.0	10.0	11.0	12.0
gzLinHyal1.cds-transcripts	1.0	1320.0	0.0	211.0	292.0	13.0	17.0	17.0
gzMorAlpi1.cds-transcripts	3.0	486.0	249.0	0.0	310.0	14.0	16.0	20.0
gzPodHuml1.cds-transcripts	1.0	465.0	240.0	209.0	0.0	8.0	12.0	14.0
gzUmbIsab1.cds-transcripts	4.0	57.0	43.0	36.0	45.0	0.0	159.0	282.0
gzUmbRama1.cds-transcripts	4.0	56.0	52.0	43.0	44.0	235.0	0.0	361.0
gzUmbVina1.cds-transcripts	2.0	50.0	47.0	36.0	43.0	198.0	192.0	0.0
