	AspNid.cds-transcripts	ggMorZona1.cds-transcripts	gzLinHyal1.cds-transcripts	gzMorAlpi1.cds-transcripts	gzPodHuml1.cds-transcripts	gzUmbIsab1.cds-transcripts	gzUmbRama1.cds-transcripts	gzUmbVina1.cds-transcripts
AspNid.cds-transcripts	0.0	155.0	152.0	154.0	150.0	119.0	120.0	127.0
ggMorZona1.cds-transcripts	267.0	0.0	13165.0	3513.0	3563.0	329.0	328.0	328.0
gzLinHyal1.cds-transcripts	242.0	12293.0	0.0	3179.0	3261.0	286.0	292.0	296.0
gzMorAlpi1.cds-transcripts	229.0	3085.0	3123.0	0.0	2828.0	266.0	267.0	275.0
gzPodHuml1.cds-transcripts	237.0	3269.0	3282.0	2990.0	0.0	287.0	281.0	295.0
gzUmbIsab1.cds-transcripts	168.0	259.0	257.0	255.0	258.0	0.0	2160.0	2222.0
gzUmbRama1.cds-transcripts	168.0	256.0	254.0	248.0	254.0	2051.0	0.0	2508.0
gzUmbVina1.cds-transcripts	204.0	273.0	271.0	275.0	282.0	2359.0	2773.0	0.0
