	AspNid.cds-transcripts	ggMorZona1.cds-transcripts	gzLinHyal1.cds-transcripts	gzMorAlpi1.cds-transcripts	gzPodHuml1.cds-transcripts	gzUmbIsab1.cds-transcripts	gzUmbRama1.cds-transcripts	gzUmbVina1.cds-transcripts
AspNid.cds-transcripts	0.0	12.0	12.0	10.0	12.0	8.0	8.0	12.0
ggMorZona1.cds-transcripts	13.0	0.0	775.0	315.0	364.0	122.0	120.0	132.0
gzLinHyal1.cds-transcripts	11.0	764.0	0.0	259.0	297.0	106.0	99.0	111.0
gzMorAlpi1.cds-transcripts	9.0	296.0	241.0	0.0	292.0	97.0	94.0	105.0
gzPodHuml1.cds-transcripts	12.0	325.0	279.0	288.0	0.0	109.0	107.0	115.0
gzUmbIsab1.cds-transcripts	6.0	115.0	107.0	105.0	121.0	0.0	142.0	232.0
gzUmbRama1.cds-transcripts	6.0	111.0	99.0	102.0	116.0	139.0	0.0	204.0
gzUmbVina1.cds-transcripts	12.0	129.0	117.0	118.0	128.0	254.0	217.0	0.0
