Species Tree Node	Duplications (all)	Duplications (50% support)
N5	44	31
gzPodHuml1.cds-transcripts	1049	1049
gzLinHyal1.cds-transcripts	1006	1006
AspNid.cds-transcripts	148	148
gzMorAlpi1.cds-transcripts	669	669
N0	4	1
N6	215	215
N1	67	59
gzUmbIsab1.cds-transcripts	582	582
gzUmbVina1.cds-transcripts	934	934
N4	141	123
gzUmbRama1.cds-transcripts	454	454
ggMorZona1.cds-transcripts	1510	1510
N3	8	8
N2	2	1
